Origin_ID;Origin_NAME;Origin_N_Displ;Origin_N_Receiv;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_N_Displ;Destin_N_Receiv;Destin_LAT;Destin_LNG;Count
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;1800
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5376;LA CEJA;1234;5589;6.029799;-75.427977;1573
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5400;LA UNIÓN;3346;3829;5.974352;-75.360575;690
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5679;SANTA BÁRBARA;2044;1605;5.874489;-75.567507;332
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5615;RIONEGRO;1529;14588;6.14622;-75.376256;331
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5088;BELLO;7634;45571;6.333786;-75.554448;166
5002;ABEJORRAL;6697;798;5.78954;-75.42892;63548;PIJAO;1560;1390;4.334497;-75.703199;149
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5360;ITAGÜÍ;3594;16505;6.169702;-75.613401;134
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5148;EL CARMEN DE VIBORAL;4902;2707;6.084972;-75.335269;115
5002;ABEJORRAL;6697;798;5.78954;-75.42892;5607;RETIRO;384;1787;6.063243;-75.502011;112
54003;ÁBREGO;6219;2155;8.081204;-73.221417;54001;CÚCUTA;16922;91560;7.905267;-72.505591;1803
54003;ÁBREGO;6219;2155;8.081204;-73.221417;54498;OCAÑA;7697;25596;8.246666;-73.355196;895
54003;ÁBREGO;6219;2155;8.081204;-73.221417;68001;BUCARAMANGA;5644;70103;7.115901;-73.132537;504
54003;ÁBREGO;6219;2155;8.081204;-73.221417;54874;VILLA DEL ROSARIO;1982;6411;7.849047;-72.470519;429
54003;ÁBREGO;6219;2155;8.081204;-73.221417;13001;CARTAGENA DE INDIAS;12945;121634;10.398816;-75.501229;208
54003;ÁBREGO;6219;2155;8.081204;-73.221417;68276;FLORIDABLANCA;871;21226;7.074187;-73.097661;172
54003;ÁBREGO;6219;2155;8.081204;-73.221417;68307;GIRÓN;2012;19227;7.071761;-73.168255;160
54003;ÁBREGO;6219;2155;8.081204;-73.221417;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;109
54003;ÁBREGO;6219;2155;8.081204;-73.221417;68547;PIEDECUESTA;1103;11996;6.995475;-73.054308;105
5004;ABRIAQUÍ;1384;473;6.633863;-76.064753;5284;FRONTINO;8539;3232;6.775585;-76.131223;371
5004;ABRIAQUÍ;1384;473;6.633863;-76.064753;5001;MEDELLÍN;41118;373898;6.248941;-75.577056;327
