DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct,Pop1985,Pop2015
5,2,ABEJORRAL,2011,5,5.78953996,-75.42892042,5002,5002,6697,798,3292,10787,26049,19290
54,3,ÁBREGO,2011,5,8.081204184,-73.22141743,54003,54003,6219,2155,1016,9390,30900,37997
5,4,ABRIAQUÍ,2011,5,6.633863006,-76.0647528,5004,5004,1384,473,375,2232,3067,2128
50,6,ACACÍAS,2008,5,3.991014028,-73.76560234,50006,50006,3541,11977,574,16092,30918,68888
27,6,ACANDÍ,2011,5,8.510949896,-77.27861806,27006,27006,6063,2533,9587,18183,10303,9584
41,6,ACEVEDO,2011,5,1.805529865,-75.88843536,41006,41006,6607,3677,66,10350,16962,32911
13,6,ACHÍ,2011,5,8.56785243,-74.55549177,13006,13006,15231,1107,2522,18860,34166,23051
41,13,AGRADO,2011,5,2.258829788,-75.77170304,41013,41013,309,356,0,665,7099,9061
25,1,AGUA DE DIOS,2011,5,4.375853133,-74.66954561,25001,25001,294,291,0,585,13134,10995
20,11,AGUACHICA,2012,5,8.310120968,-73.60130045,20011,20011,12964,16171,4965,34100,50131,92957
68,13,AGUADA,2011,5,6.162125609,-73.5214455,68013,68013,139,22,1,162,2663,1855
17,13,AGUADAS,2011,5,5.610592234,-75.45423466,17013,17013,2150,597,1083,3830,29027,22081
85,10,AGUAZUL,2011,5,5.169985431,-72.55258534,85010,85010,4499,2252,815,7566,15041,38530
20,13,AGUSTÍN CODAZZI,2012,5,10.04036455,-73.23743145,20013,20013,26044,8767,18249,53060,44004,50829
41,16,AIPE,2011,5,3.222344672,-75.24004108,41016,41016,2514,1370,370,4254,10345,26235
25,19,ALBÁN,2011,5,4.877954801,-74.43830055,25019,25019,591,307,112,1010,5938,5956
18,29,ALBANIA,2011,5,1.329033772,-75.87865221,18029,18029,4121,1315,856,6292,11083,6430
44,35,ALBANIA,2011,5,11.16271115,-72.58875564,44035,44035,1021,2772,589,4382,0,26606
68,20,ALBANIA,2011,5,5.758994636,-73.91406315,68020,68020,349,18,3,370,5804,5096
76,20,ALCALÁ,2011,5,4.674378925,-75.77975916,76020,76020,696,1170,25,1891,14559,21364
52,22,ALDANA,2011,5,0.882243596,-77.70037482,52022,52022,64,67,11,142,5686,6085
5,21,ALEJANDRÍA,2011,5,6.375931814,-75.14132296,5021,5021,3293,694,2923,6910,4909,3466
47,30,ALGARROBO,2011,5,10.18449656,-74.06066849,47030,47030,5787,2092,827,8706,0,12576
41,20,ALGECIRAS,2011,5,2.522555905,-75.31569465,41020,41020,14786,956,269,16011,19465,24492
19,22,ALMAGUER,2011,5,1.914277842,-76.85492444,19022,19022,4520,127,85,4732,19025,21243
15,22,ALMEIDA,2011,5,4.970528912,-73.37867863,15022,15022,39,20,0,59,5328,1754
73,24,ALPUJARRA,2011,5,3.391799957,-74.93256629,73024,73024,1404,194,70,1668,6516,4992
41,26,ALTAMIRA,2011,5,2.063408906,-75.78865559,41026,41026,248,447,9,704,2790,4293
13,30,ALTOS DEL ROSARIO,2011,5,8.792466161,-74.16523499,13030,13030,8931,715,2215,11861,0,13669
73,26,ALVARADO,2011,5,4.568164621,-74.95215175,73026,73026,1887,247,158,2292,9515,8834
5,30,AMAGÁ,2011,5,6.035833513,-75.70176247,5030,5030,1696,1150,102,2948,21984,29555
